title,url,published_date
Award Ceremony at 18th World Education Summit 2021 School Education,https://www.youtube.com/watch?v=DlRHAmDPYCk,2021-03-16
Award Ceremony at 18th World Education Summit 2021 School Education,https://www.youtube.com/watch?v=v1VpJ6Tx3fU,2021-03-16
Award Ceremony at 18th World Education Summit 2021 School Education,https://www.youtube.com/watch?v=zh5A_fJ8fqw,2021-03-16
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=kDZImJG-jsY,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=qrTzTta1Dt8,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=Xyp1GFeC8w4,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=eTfQ0tOFDr4,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=sR0KO5eUdK0,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=HZyyXLWWcJE,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=j1e2Vn-CX_4,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=lgRW2VOaXB4,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=zfy4mhtW7PI,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=UkcydrrBPNc,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=kVVnW8MwYtY,2021-03-09
Award Ceremony at 18th World Education Summit 2021,https://www.youtube.com/watch?v=gZZdo2Xldds,2021-03-09
Award Ceremony at 18th World Education Summit 2021 Higher Education,https://www.youtube.com/watch?v=2MIz5lt3QkQ,2021-03-08
Welcome to the Inauguration Ceremony of 18th World Education Summit 2021,https://www.youtube.com/watch?v=tbnw7GfGXkg,2021-03-08
"WES 2020: Session with Prof. Ujjwal K Chowdhury, Pro Vice Chancellor, Adamas University, Kolkata",https://www.youtube.com/watch?v=Q1nE2fBSCiM,2020-12-29
"WES 2020: Vinayak Sudhakar, Development and Recognition Manager, South India, IB",https://www.youtube.com/watch?v=3VGJQD9RlNg,2020-12-21
"WES 2020: Exclusive session by B Shadrach, Advisor, Skills at Commonwealth of Learning",https://www.youtube.com/watch?v=luCQwArDcM4,2020-12-19
"World Education Summit 2020: Exclusive session by Aakash Sethi, CEO, Quest Alliance",https://www.youtube.com/watch?v=I0-frfhruoo,2020-12-19
